,Date_holo,Chamber.Channel_holo,Genotype_holo,TempC_holo,TempK_holo,Origin_holo,colorstate,Color_holo,Rdark_umol.cm2.hr_corr,abs_Rcorr,ln_R
269,20170711,8,WBN,29,302.15,RI,RI_brown,brown,-0.926851982,0.926851982,-0.0759614
270,20170711,8,WBN,32,305.15,RI,RI_brown,brown,-1.047985287,1.047985287,0.046869547
272,20170710,9,WBO,22,295.15,RI,RI_brown,brown,-0.688610684,0.688610684,-0.373079213
273,20170710,9,WBO,26,299.15,RI,RI_brown,brown,-0.77275379,0.77275379,-0.257794793
274,20170710,9,WBO,29,302.15,RI,RI_brown,brown,-0.596612928,0.596612928,-0.516486738
275,20170710,9,WBO,32,305.15,RI,RI_brown,brown,-0.271468108,0.271468108,-1.303910612
277,20170711,7,WBP,22,295.15,RI,RI_brown,brown,-1.020643539,1.020643539,0.020433349
278,20170711,7,WBP,26,299.15,RI,RI_brown,brown,-0.965351567,0.965351567,-0.035262926
279,20170711,7,WBP,29,302.15,RI,RI_brown,brown,-1.504285541,1.504285541,0.408318062
280,20170711,7,WBP,32,305.15,RI,RI_brown,brown,-0.733020991,0.733020991,-0.31058094
123,20170716,5,WWB,18,291.15,RI,RI_white,white,-0.273695188,0.273695188,-1.295740244
286,20170707,10,WWC,18,291.15,RI,RI_white,white,-1.035763094,1.035763094,0.035138444
133,20170713,6,WWD,18,291.15,RI,RI_white,white,-1.180497883,1.180497883,0.165936284
296,20170710,4,WWE,18,291.15,RI,RI_white,white,-0.369083503,0.369083503,-0.996732365
143,20170716,4,WWF,18,291.15,RI,RI_white,white,-0.519483468,0.519483468,-0.654920292
148,20170712,3,WWI,18,291.15,RI,RI_white,white,-0.579621143,0.579621143,-0.545380591
311,20170708,5,WWJ,18,291.15,RI,RI_white,white,-0.487166843,0.487166843,-0.719148621
158,20170714,10,WWK,18,291.15,RI,RI_white,white,0.010678059,0.010678059,-4.539564204
121,20170716,5,WWB,12,285.15,RI,RI_white,white,-0.252273427,0.252273427,-1.377241752
122,20170716,5,WWB,15,288.15,RI,RI_white,white,0.080952064,0.080952064,-2.513898102
124,20170716,5,WWB,6,279.15,RI,RI_white,white,-0.194849874,0.194849874,-1.635525894
125,20170716,5,WWB,9,282.15,RI,RI_white,white,-0.19386449,0.19386449,-1.640595869
126,20170712,7,WWC,12,285.15,RI,RI_white,white,-0.195868222,0.195868222,-1.630313183
127,20170712,7,WWC,15,288.15,RI,RI_white,white,-0.594019197,0.594019197,-0.520843642
129,20170712,7,WWC,6,279.15,RI,RI_white,white,0.276815251,0.276815251,-1.284404959
130,20170712,7,WWC,9,282.15,RI,RI_white,white,0.021232369,0.021232369,-3.852228422
131,20170713,6,WWD,12,285.15,RI,RI_white,white,-0.409575505,0.409575505,-0.892634009
132,20170713,6,WWD,15,288.15,RI,RI_white,white,-0.76187957,0.76187957,-0.27196678
134,20170713,6,WWD,6,279.15,RI,RI_white,white,-0.049484621,0.049484621,-3.006093345
135,20170713,6,WWD,9,282.15,RI,RI_white,white,-0.80253034,0.80253034,-0.219985618
136,20170714,4,WWE,12,285.15,RI,RI_white,white,-0.211211895,0.211211895,-1.554893408
137,20170714,4,WWE,15,288.15,RI,RI_white,white,-0.688811102,0.688811102,-0.372788208
139,20170714,4,WWE,6,279.15,RI,RI_white,white,0.050066932,0.050066932,-2.994394529
140,20170714,4,WWE,9,282.15,RI,RI_white,white,-0.371578282,0.371578282,-0.989995718
141,20170716,4,WWF,12,285.15,RI,RI_white,white,-0.142776738,0.142776738,-1.946473142
142,20170716,4,WWF,15,288.15,RI,RI_white,white,-0.218008413,0.218008413,-1.523221625
144,20170716,4,WWF,6,279.15,RI,RI_white,white,-0.04705331,0.04705331,-3.056474065
145,20170716,4,WWF,9,282.15,RI,RI_white,white,-0.193899756,0.193899756,-1.640413975
146,20170712,3,WWI,12,285.15,RI,RI_white,white,-0.174759809,0.174759809,-1.744342768
147,20170712,3,WWI,15,288.15,RI,RI_white,white,-0.311917593,0.311917593,-1.165016251
149,20170712,3,WWI,6,279.15,RI,RI_white,white,0.007992441,0.007992441,-4.829259059
150,20170712,3,WWI,9,282.15,RI,RI_white,white,-0.25520982,0.25520982,-1.365669249
151,20170713,5,WWJ,12,285.15,RI,RI_white,white,-0.215242537,0.215242537,-1.535989808
152,20170713,5,WWJ,15,288.15,RI,RI_white,white,-0.505242321,0.505242321,-0.682717121
154,20170713,5,WWJ,6,279.15,RI,RI_white,white,-0.12366138,0.12366138,-2.090208255
155,20170713,5,WWJ,9,282.15,RI,RI_white,white,-0.388631625,0.388631625,-0.945123363
156,20170714,10,WWK,12,285.15,RI,RI_white,white,-0.122040697,0.122040697,-2.103400708
157,20170714,10,WWK,15,288.15,RI,RI_white,white,-0.220629116,0.220629116,-1.511272195
159,20170714,10,WWK,6,279.15,RI,RI_white,white,-0.011152473,0.011152473,-4.496094012
160,20170714,10,WWK,9,282.15,RI,RI_white,white,-0.279713763,0.279713763,-1.273988474
